[run number],initial-condition,population-size,mutant-size,patches-num,budget,[step],[tf] of max-one-of turtles [tf],timer,ticks
1,5,500,10,2500,200,1113,123.0516477,1.851,1113
6,5,500,15,2500,200,714,120.0085181,0.697,714
11,5,500,20,2500,200,987,126.1098328,1.068,987
16,5,500,25,2500,200,754,124.2253138,1.059,754
21,5,600,10,2500,200,1283,125.0949618,1.294,1283
26,5,600,15,2500,200,929,123.0900201,1.09,929
31,5,600,20,2500,200,949,124.9874978,1.234,949
36,5,600,25,2500,200,857,125.7298638,1.178,857
41,5,700,10,2500,200,1155,124.8980514,1.973,1155
46,5,700,15,2500,200,955,125.3481807,1.7,955
51,5,700,20,2500,200,969,125.0727319,1.295,969
56,5,700,25,2500,200,1135,125.6085073,1.622,1135
2,5,500,10,2500,400,1893,253.8884143,2.064,1893
7,5,500,15,2500,400,1609,252.5615253,1.892,1609
12,5,500,20,2500,400,1660,254.668313,2.16,1660
17,5,500,25,2500,400,1382,250.4006427,2.484,1382
22,5,600,10,2500,400,1814,251.7177104,2.057,1814
27,5,600,15,2500,400,1829,256.4947328,2.443,1829
32,5,600,20,2500,400,1676,256.5723015,2.537,1676
37,5,600,25,2500,400,1353,250.3291932,2.311,1353
42,5,700,10,2500,400,2146,255.9068743,2.886,2146
47,5,700,15,2500,400,2049,255.5208033,3.394,2049
52,5,700,20,2500,400,1749,255.7047372,2.791,1749
57,5,700,25,2500,400,1304,249.6959619,2.265,1304
3,5,500,10,2500,600,2258,376.0370134,2.683,2258
8,5,500,15,2500,600,2624,381.0803406,3.51,2624
13,5,500,20,2500,600,2174,378.0727609,3.305,2174
18,5,500,25,2500,600,2069,375.9621863,3.953,2069
23,5,600,10,2500,600,2558,379.3627745,3.249,2558
28,5,600,15,2500,600,2353,381.0334495,4.147,2353
33,5,600,20,2500,600,2291,379.0764992,4.414,2291
38,5,600,25,2500,600,2308,381.6237964,4.746,2308
43,5,700,10,2500,600,3528,386.98964,5.474,3528
48,5,700,15,2500,600,2594,380.583939,5.232,2594
53,5,700,20,2500,600,2555,383.37695,4.65,2555
58,5,700,25,2500,600,2044,378.6331873,4.146,2044
4,5,500,10,2500,800,2822,520.6045792,3.984,2822
9,5,500,15,2500,800,2982,530.4796005,4.554,2982
14,5,500,20,2500,800,2555,524.8057212,4.867,2555
19,5,500,25,2500,800,2452,521.0125838,5.545,2452
24,5,600,10,2500,800,3260,528.6641606,4.831,3260
29,5,600,15,2500,800,3590,533.4530848,6.257,3590
34,5,600,20,2500,800,3102,533.1954987,6.194,3102
39,5,600,25,2500,800,2744,531.1954408,6.433,2744
44,5,700,10,2500,800,4110,535.2906498,7.458,4110
49,5,700,15,2500,800,3560,534.9813484,6.503,3560
54,5,700,20,2500,800,3123,534.7472085,6.435,3123
59,5,700,25,2500,800,2989,533.7712898,6.905,2989
5,5,500,10,2500,1000,3369,647.9732568,4.782,3369
10,5,500,15,2500,1000,3173,647.4958751,5.418,3173
15,5,500,20,2500,1000,3125,655.3418645,6.915,3125
20,5,500,25,2500,1000,3067,651.4008253,7.054,3067
25,5,600,10,2500,1000,4773,670.1347591,8.963,4773
30,5,600,15,2500,1000,4104,668.0351431,8.668,4104
35,5,600,20,2500,1000,3336,658.8141018,7.718,3336
40,5,600,25,2500,1000,3024,657.5018776,8.356,3024
45,5,700,10,2500,1000,4227,666.1132196,8.741,4227
50,5,700,15,2500,1000,4517,671.0344324,8.985,4517
55,5,700,20,2500,1000,4318,673.510353,9.995,4318
60,5,700,25,2500,1000,3976,671.9239222,10.427,3976