BehaviorSpace results (NetLogo 6.0.2),,,,,,,
SearchAlgorithm.nlogo,,,,,,,
experiment2,,,,,,,
03/28/2018 11:36:55:684 -0700,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
0,11,0,5,,,,
[run number],initial-condition,population-size,threshold,mutation-fraction,[step],[tf] of max-one-of turtles [tf],timer
1,5,100,1.50E-07,50,737,108.5050168,0.689
2,5,100,1.50E-06,50,737,108.5050168,0.629
3,5,100,1.50E-05,50,737,108.5050168,0.558
5,5,200,1.50E-07,50,2082,153.6390143,2.01
6,5,200,1.50E-06,50,2082,153.6390143,1.984
7,5,200,1.50E-05,50,2082,153.6390143,2.011
9,5,300,1.50E-07,50,1485,153.032197,1.853
10,5,300,1.50E-06,50,1485,153.032197,1.853
11,5,300,1.50E-05,50,1485,153.032197,1.87
13,5,400,1.50E-07,50,2215,168.9638644,3.362
14,5,400,1.50E-06,50,2215,168.9638644,3.357
15,5,400,1.50E-05,50,2215,168.9638644,3.367
17,5,500,1.50E-07,50,1992,169.7923669,3.652
18,5,500,1.50E-06,50,1992,169.7923669,3.658
19,5,500,1.50E-05,50,1992,169.7923669,3.64
21,5,1000,1.50E-07,50,2952,183.1959049,10.483
22,5,1000,1.50E-06,50,2952,183.1959049,10.27
23,5,1000,1.50E-05,50,2952,183.1959049,10.024
25,5,2000,1.50E-07,50,2634,185.9363678,18.502
26,5,2000,1.50E-06,50,2634,185.9363678,18.413
27,5,2000,1.50E-05,50,2634,185.9363678,18.809